year,race,mracehisp_c,recorded_bc,births_bc,bc_prev_per10k,recording_frac_g,est_true_count,est_true_prev_per10k,surveillance_prev_per10k
2000,nhw,1,1286,2362975,5.4422920259418746,0.421962461509317,3047.6644661710147,12.897573889571472,12.12899947009097
2000,nhb,2,147,604346,2.4323814503612167,0.220699386696071,666.064379247398,11.021242454610407,10.499449262412865
2000,ai/an,3,12,38084,3.150929524209642,0.335633908102391,35.753240987615555,9.387995217838347,7.624408516977408
2000,as/pi,4,59,194596,3.0319225472260483,0.320411014238408,184.1384889350274,9.46260400702108,9.429186159473934
2000,his,5,339,815877,4.155038075592277,0.316338542655,1071.6367254992215,13.13478288393007,11.964842065203863
2001,nhw,1,1238,2326581,5.321112826073969,0.42365455700155796,2922.192100946638,12.560027357511466,12.323849096173308
2001,nhb,2,145,589920,2.4579604014103604,0.22585001992121,642.0189825557007,10.88315335224608,10.771308631750992
2001,ai/an,3,16,38017,4.208643501591394,0.344823749283935,46.40051630209864,12.20520196283206,7.2808615478283
2001,as/pi,4,52,195061,2.665832739502002,0.322247731975333,161.3665352468033,8.272619090787153,9.882582915332042
2001,his,5,334,851862,3.920822856284234,0.318319114696,1049.2615258715316,12.317271176217881,12.598718561381839
2002,nhw,1,1255,2298160,5.460890451491627,0.42513827549033995,2951.9807374495413,12.844974838346944,12.776884962857423
2002,nhb,2,158,578335,2.7319805994795403,0.22864016077078503,691.0422012797534,11.948822071632415,11.48815316296868
2002,ai/an,3,12,38421,3.1232919497149996,0.3455330502867279,34.72894992256816,9.039054142934376,11.57030609223671
2002,as/pi,4,65,205032,3.170236841078466,0.2939585062052212,221.11964317379395,10.784640601164401,10.149233547364641
2002,his,5,346,876649,3.9468475980694673,0.310427858313264,1114.5906874467396,12.714218432311444,13.113248593343211
2003,nhw,1,1255,2322321,5.404076352924509,0.4263725688830319,2943.4351353505767,12.674540407422473,12.774353608142333
2003,nhb,2,161,576143,2.7944451290738583,0.24691551135428788,652.0449003667023,11.317414259423481,11.255913775563391
2003,ai/an,3,17,38575,4.40699935191186,0.36622419839782405,46.419652427044554,12.033610480115245,11.76437642820343
2003,as/pi,4,61,212658,2.8684554542975103,0.29215342904439456,208.79440025580075,9.818318626893921,10.363935041439142
2003,his,5,372,917786,4.053232452881173,0.3212927554002976,1157.8225582351722,12.615387009991133,12.9839832966431
2004,nhw,1,1271,2297228,5.532755129225309,0.43431742710726157,2926.4310402311035,12.738966442299605,12.695665286101935
2004,nhb,2,158,578936,2.729144499564719,0.2512397941080001,628.8812668429458,10.862707913188087,11.58229918180394
2004,ai/an,3,20,39503,5.062906614687492,0.38592283198632843,51.82383197454488,13.118961085118821,10.927699003579063
2004,as/pi,4,69,218310,3.1606431221657276,0.3310636327429833,208.4191471842128,9.546935421383024,9.73124517972114
2004,his,5,406,952281,4.263447448809752,0.32593179213658,1245.659398055492,13.080796509176302,13.242371241759027
2005,nhw,1,1258,2280259,5.516917157217667,0.4264475871789225,2949.952204729411,12.936917274438608,12.98699078298934
2005,nhb,2,186,583915,3.1853951345658182,0.2430791267169011,765.1829365695494,13.104354855921656,12.008868463838391
2005,ai/an,3,19,40452,4.696924750321369,0.4262106783954556,44.57889246587817,11.020194913941998,10.483209553615414
2005,as/pi,4,71,219186,3.2392579818054075,0.32476722344450837,218.61812053250958,9.97409143524265,9.810701324894142
2005,his,5,457,991921,4.607221744473602,0.3354243357048201,1362.4533206265894,13.735502329586625,13.153153896966021
2006,nhw,1,1306,2309212,5.655608926335044,0.4351761493290567,3001.083588826173,12.996137162054298,12.744387305110095
2006,nhb,2,191,617445,3.093392933783576,0.24244085732646845,787.8210055279638,12.759371369562695,12.098491399169266
2006,ai/an,3,16,42231,3.788686036324027,0.4667033875995305,34.28301663353106,8.11797415015772,10.42590450974196
2006,as/pi,4,83,228106,3.638659219836392,0.3700180469805346,224.31338329929176,9.833734461140512,8.802434175510003
2006,his,5,484,1045764,4.628195271590913,0.33366799667965513,1450.5436686056357,13.870659810489132,13.484203853152891
2007,nhw,1,1290,2310821,5.582431525418888,0.433198040566918,2977.852804485915,12.886557654123425,12.840502371894313
2007,nhb,2,175,627352,2.78950254402632,0.2497773079031996,700.6240937940635,11.167958240255286,12.004018083175096
2007,ai/an,3,19,42907,4.428181881744237,0.4130703764484018,45.99700458639247,10.720163280208933,11.318638022721265
2007,as/pi,4,73,242199,3.014050429605407,0.35986337221388576,202.85476554866565,8.375541003417258,9.28046308659012
2007,his,5,477,1069709,4.459156649144767,0.338817170877293,1407.838920220344,13.160952373218738,13.415931339927642
2008,nhw,1,1234,2268291,5.440219090055024,0.42380508359758406,2911.7158990280564,12.836606498143565,13.070988610131234
2008,nhb,2,179,623204,2.872253708256044,0.2533414890059267,706.5562008906187,11.33747859273398,11.978613470459035
2008,ai/an,3,27,42478,6.356231460991571,0.37988144963162673,71.0748051166543,16.7321449024564,11.708285155194863
2008,as/pi,4,78,240474,3.243593902043464,0.3448676136706058,226.1737458319305,9.405330548497155,9.655643982583504
2008,his,5,474,1047846,4.523565485767946,0.37185215434791313,1274.700158269125,12.164957047783023,12.35675389996372
2009,nhw,1,1243,2213030,5.616733618613394,0.4325245830212118,2873.825092940535,12.985929214427888,12.636148973685158
2009,nhb,2,187,609787,3.0666445824525614,0.25950923572210494,720.5909241713796,11.817092266174576,11.891816129810298
2009,ai/an,3,17,41540,4.092441020702937,0.4072941923641402,41.73887160365203,10.04787472403756,11.79584525034884
2009,as/pi,4,85,237805,3.5743571413553124,0.349330870514539,243.32232612251295,10.232010517966946,9.77040325138312
2009,his,5,454,1005854,4.513577517214228,0.3292499062009012,1378.891812722276,13.708667587167481,13.905016106181366
2010,nhw,1,1167,2163096,5.395044880116277,0.4462389258081273,2615.1909493027592,12.090036453780872,12.215484548062117
2010,nhb,2,199,590081,3.37241836290272,0.2725544066344743,730.1294536282479,12.373376767397152,11.598216969217322
2010,ai/an,3,14,39938,3.505433421803796,0.3961504596588199,35.34010792782455,8.848742532882104,12.114230546318618
2010,as/pi,4,75,234628,3.196549431440408,0.3690299643666549,203.23552893250343,8.662032192769125,9.664682878965069
2010,his,5,464,951738,4.875291309162815,0.32003057770541105,1449.8614580107817,15.233829667521753,14.544928108034126
2011,nhw,1,1134,2147243,5.281190810727989,0.4455512002738904,2545.162035929663,11.853162571398128,12.270470639746042
2011,nhb,2,196,582593,3.3642697389086376,0.28989382372774797,676.1096096482283,11.605179081249318,11.282570088456273
2011,ai/an,3,22,39199,5.612388071124263,0.3685416862074821,59.6947396274038,15.228638390623178,12.598796181123426
2011,as/pi,4,97,240287,4.036839279694698,0.34864922189222475,278.21659682345387,11.578512230102081,10.78725812804805
2011,his,5,420,924607,4.542470476645753,0.32231380169477164,1303.0779252752457,14.093316676980011,14.857594711598283
2012,nhw,1,1178,2134726,5.518272602666571,0.44556530431945807,2643.832427211178,12.384879498404844,12.268558342361835
2012,nhb,2,184,583758,3.151991064790547,0.2920579655870736,630.011921195632,10.792347534348686,11.452282901168871
2012,ai/an,3,17,38968,4.362553890371587,0.3634329276154688,46.776168883593556,12.003738678811732,13.609831581103165
2012,as/pi,4,97,258058,3.7588449108339983,0.33493385394245956,289.6094224523038,11.222648491901193,10.789826729246716
2012,his,5,443,914394,4.84473870126007,0.3190816832322959,1388.3592298762253,15.183380795108294,15.307310272576022
2013,nhw,1,1176,2130029,5.521051591316363,0.45027707744381656,2611.725221892371,12.261453820076492,12.230328034290574
2013,nhb,2,199,584177,3.40650179654454,0.28410682495123113,700.4407586271808,11.990214586113128,11.87066246266726
2013,ai/an,3,22,38495,5.715027925704637,0.3914160732523976,56.20617420535436,14.60090250820999,14.714736736031528
2013,as/pi,4,106,252311,4.20116443595404,0.30878966065478797,343.2757423782492,13.605262647219075,11.617067702207
2013,his,5,472,908127,5.197510920829355,0.3231821705375221,1460.4766074036868,16.08229473855184,15.607811314496718
2014,nhw,1,1208,2150343,5.61770843070152,0.4392244375942577,2750.302343413583,12.79006346156675,12.786140622459357
2014,nhb,2,202,589373,3.4273711215138802,0.28622042705799194,705.7497680243214,11.974586009612272,12.418695855105934
2014,ai/an,3,21,37486,5.602091447473724,0.42543648998523576,49.36106914742734,13.167867776617227,13.912632768998387
2014,as/pi,4,78,268217,2.9080930738916626,0.34021270076975263,229.26833661271345,8.54786745853967,10.086540104354322
2014,his,5,458,922079,4.967036446985562,0.32920350224232614,1391.2367179583252,15.088042542540554,16.20042306231863
2015,nhw,1,1193,2131251,5.597651332480313,0.447343893892932,2666.8520936278487,12.513083131118057,
2015,nhb,2,207,589645,3.510586878545565,0.297958885073156,694.7267236188529,11.782118454643946,
2015,ai/an,3,28,36838,7.600846951517455,0.47348152582555103,59.136414987215964,16.0531014135447,
2015,as/pi,4,83,266241,3.1174762714983792,0.34796178029228303,238.5319443137725,8.959249113163356,
2015,his,5,528,932148,5.664336564579873,0.34604712327,1525.8037547332333,16.368685602857415,
2016,nhw,1,1200,2057311,5.832856578319952,0.44721863007942136,2683.2513658630287,13.042516983883472,12.64042954256246
2016,nhb,2,241,559235,4.309458456641662,0.3118636373425627,772.7736457305426,13.818406318104959,12.424530413509459
2016,ai/an,3,26,40815,6.3702070317285315,0.6599939406232221,39.39430106805011,9.65191744898937,10.741986264642875
2016,as/pi,4,82,254870,3.2173264801663595,0.34393811978030847,238.41498014927149,9.354375962226683,9.100725422304823
2016,his,5,554,926461,5.979744425291512,0.36658324774354517,1511.2529102463736,16.312104991428388,15.996045723195271
2017,nhw,1,1117,2031361,5.498776436093831,0.450728084877414,2478.212557586231,12.19976438253088,
2017,nhb,2,237,587948,4.030968725125351,0.308260151523434,768.8311279571379,13.076515745561476,
2017,ai/an,3,22,34514,6.3742249521933125,0.491861208188639,44.7280648153138,12.959397582231501,
2017,as/pi,4,83,272260,3.0485565268493353,0.351635215766133,236.04006731567517,8.669656479676602,
2017,his,5,562,905998,6.203104201113026,0.350008267352,1605.6763580238573,17.722736231469135,
2018,nhw,1,1142,1995846,5.7218843538028485,0.45189080987566915,2527.1591611128447,12.662094976831101,12.64755576889967
2018,nhb,2,239,579786,4.122210608741846,0.30963761730153333,771.8700398319351,13.313016178933866,13.171962508001073
2018,ai/an,3,33,33713,9.788508883813366,0.5068949621363059,65.10224497186101,19.310724341310774,13.052782284726657
2018,as/pi,4,89,264254,3.3679717241744687,0.3480560450488994,255.70594525228293,9.676521273179704,8.871391250000027
2018,his,5,584,893897,6.533191184219211,0.37133812871056376,1572.690641889871,17.59364492653931,16.769410179659108
2019,nhw,1,1145,1955292,5.855902852361693,0.454112275861896,2521.4028795561912,12.895275383708372,
2019,nhb,2,205,577346,3.5507304112265436,0.318561417973712,643.5179793709883,11.14614077816402,
2019,ai/an,3,15,32851,4.566071048065508,0.510240890551727,29.397879075862374,8.948853634855064,
2019,as/pi,4,86,262082,3.281415740111873,0.355308651239983,242.04307916475068,9.235394997166942,
2019,his,5,563,893901,6.298236605619638,0.353969411434,1590.5329155962256,17.79316630808362,
2020,nhw,1,1045,1844161,5.666533453424077,0.455804371354137,2292.650236976529,12.431941880218316,
2020,nhb,2,234,530036,4.414794466790935,0.323712051198851,722.8646543537474,13.638029385810537,
2020,ai/an,3,22,36452,6.0353341380445515,0.519430731733271,42.3540592729062,11.619131809751508,
2020,as/pi,4,53,219309,2.4166814859399297,0.357145368976908,148.39895629005574,6.766660569792199,
2020,his,5,534,871385,6.1281752612220775,0.355949983475,1500.2107733979014,17.21639428493607,
2021,nhw,1,984,1888274,5.211108133671279,0.457496466846378,2150.8362824808783,11.390488257958742,
2021,nhb,2,212,518108,4.091810973773808,0.32886268442399,644.6459572369012,12.442308500098457,
2021,ai/an,3,25,35665,7.009673349221926,0.528620572914815,47.29290020278618,13.2603112863553,
2021,as/pi,4,59,213947,2.7576923256694417,0.358982086713833,164.35360477201908,7.681977535184839,
2021,his,5,549,890278,6.166613125338378,0.357930555516,1533.8170813848244,17.228518298608126,
2022,nhw,1,955,1841422,5.186209353423604,0.459188562338619,2079.7556348882995,11.294291231929996,
2022,nhb,2,231,511695,4.5144079969513085,0.334013317649129,691.5891905922703,13.515652695302286,
2022,ai/an,3,33,35860,9.202453987730062,0.537810414096359,61.359912591962974,17.110962797535688,
2022,as/pi,4,75,219192,3.4216577247344797,0.360818804450758,207.8605634597281,9.483036035061868,
2022,his,5,514,944199,5.4437676803301,0.359911127557,1428.130337311109,15.125310843488599,
2023,nhw,1,940,1783774,5.269725873344942,0.46088065783085996,2039.5735512618835,11.434035652845504,
2023,nhb,2,224,490065,4.570822237866405,0.339163950874268,660.4475488111041,13.476733674331038,
2023,ai/an,3,22,24524,8.970804110259337,0.547000255277903,40.21935965792726,16.399999860515113,
2023,as/pi,4,72,225603,3.1914469222483746,0.362655522187683,198.53551261447015,8.800215981811862,
2023,his,5,541,949741,5.69628983059592,0.361891699598,1494.9223776089887,15.740316334758514,
2024,nhw,1,963,1784051,5.397827752681958,0.462572753323101,2081.834680235386,11.669143316168572,
2024,nhb,2,207,473624,4.370555546171647,0.344314584099407,601.1944005840805,12.693495274396579,
2024,ai/an,3,15,24033,6.241418050181001,0.5561900964594471,26.96919649502188,11.221735320193849,
2024,as/pi,4,64,237574,2.693897480364013,0.364492239924608,175.5867285768219,7.390822589038443,
2024,his,5,568,991715,5.727451939317244,0.363872271639,1560.987314151589,15.740281372688615,
