education,prior,post_mean,lo95,hi95
<HS,-0.3,-1.2479376817885874,-1.551026787971995,-0.9367183951814015
HS/GED,-0.1,-0.6146334323355295,-0.8821996217328871,-0.3599834680762346
Some college,0.0,-0.3021418217040902,-0.5495131088289834,-0.06308415787847113
Bachelor's,0.1,0.6015719963875336,0.37342562315550526,0.8313645923262345
Master's+,0.2,1.2248275820590724,0.9992632444314635,1.4553594512285397
Unknown,0.0,0.2668177193409943,-0.03813979844657319,0.5633324521133501
