age_band,extra_rise,lo95,hi95
<20,0.1895184496819826,-0.3198620969549714,0.6914428250486542
20-24,-0.20557304047911615,-0.6767421959932224,0.2612829111343826
25-29,-0.21031516010554838,-0.5557393939437973,0.13193059869770757
30-34,0.03351851060395681,-0.25160149388492115,0.3276452148275025
35-39,0.10801226547316561,-0.20567757431771136,0.42640849993353336
40-44,-0.006168783946017104,-0.4069143925798465,0.39316189111154
45+,0.09100775877157628,-0.37140805679887684,0.5583474180125328
