ethnicity,recorded_per10k,true_per10k_C,true_per10k_B
NH White,5.525225889370462,11.418569042692665,13.671097448531395
NH Black,4.218589891911546,12.546692875936156,15.331087678580909
NH AIAN,7.4332242368619665,12.495012939070982,13.720993476512431
NH Asian/Pacific Islander,3.1068419965675935,7.335991902899326,10.85416349493318
Hispanic,6.01118565304503,13.893096605435032,15.863272221666609
Unknown,5.323031385722179,11.136252593250038,12.864075833918593
