age_band,reduction_C,reduction_B
<20,0.050982607203600705,0.01431772619244498
20-24,0.17395810111688204,0.04529648263165509
25-29,0.34345381627420213,0.15963665442066943
30-34,0.4855247121039532,0.35336275249382887
35-39,0.4935199476669184,0.40167359137635505
40-44,0.4642050673910909,0.38377589105140575
45+,0.6358981192308801,0.5812729319812571
